id,attack_cat
0,Fuzzers
1,Fuzzers
2,Fuzzers
3,DoS
4,Normal
5,Generic
6,Generic
7,Fuzzers
8,Fuzzers
9,Generic
10,Generic
11,Generic
12,Reconnaissance
13,Exploits
14,DoS
15,Generic
16,Fuzzers
17,Exploits
18,Reconnaissance
19,Exploits
20,DoS
21,DoS
22,Fuzzers
23,DoS
24,Exploits
25,Exploits
26,Fuzzers
27,Exploits
28,Generic
29,Generic
30,Normal
31,Exploits
32,Fuzzers
33,Fuzzers
34,DoS
35,Exploits
36,Analysis
37,Exploits
38,Exploits
39,Fuzzers
40,Normal
41,Backdoor
42,DoS
43,DoS
44,Exploits
45,Fuzzers
46,Normal
47,Fuzzers
48,DoS
49,Generic
50,DoS
51,Generic
52,Normal
53,Fuzzers
54,Exploits
55,Fuzzers
56,Exploits
57,Generic
58,Fuzzers
59,Generic
60,Exploits
61,DoS
62,Normal
63,Fuzzers
64,Generic
65,Exploits
66,Normal
67,Normal
68,Generic
69,Normal
70,Normal
71,DoS
72,Normal
73,Generic
74,Exploits
75,Backdoor
76,Generic
77,DoS
78,DoS
79,Normal
80,Fuzzers
81,Exploits
82,Fuzzers
83,DoS
84,DoS
85,Fuzzers
86,Reconnaissance
87,Exploits
88,Reconnaissance
89,Exploits
90,Normal
91,Normal
92,DoS
93,DoS
94,Generic
95,Fuzzers
96,Normal
97,Fuzzers
98,Fuzzers
99,Fuzzers
100,Normal
101,Reconnaissance
102,Generic
103,Fuzzers
104,Fuzzers
105,DoS
106,Fuzzers
107,Fuzzers
108,Generic
109,Reconnaissance
110,Exploits
111,DoS
112,Fuzzers
113,Exploits
114,DoS
115,Fuzzers
116,Normal
117,Generic
118,DoS
119,DoS
120,Fuzzers
121,Fuzzers
122,Reconnaissance
123,Generic
124,Normal
125,DoS
126,Reconnaissance
127,Normal
128,Fuzzers
129,Fuzzers
130,Exploits
131,Exploits
132,DoS
133,Fuzzers
134,Normal
135,Fuzzers
136,Normal
137,Exploits
138,Fuzzers
139,DoS
140,Generic
141,DoS
142,DoS
143,Fuzzers
144,Fuzzers
145,Normal
146,Fuzzers
147,Fuzzers
148,Normal
149,DoS
150,Normal
151,Normal
152,DoS
153,Normal
154,Exploits
155,DoS
156,Fuzzers
157,Normal
158,DoS
159,Fuzzers
160,Reconnaissance
161,Fuzzers
162,Fuzzers
163,Fuzzers
164,DoS
165,Generic
166,Fuzzers
167,Fuzzers
168,Exploits
169,Normal
170,Exploits
171,Exploits
172,Generic
173,Normal
174,Exploits
175,Fuzzers
176,DoS
177,DoS
178,Fuzzers
179,Normal
180,Fuzzers
181,Normal
182,Fuzzers
183,Generic
184,Generic
185,Exploits
186,Reconnaissance
187,Generic
188,Exploits
189,Exploits
190,Fuzzers
191,Normal
192,DoS
193,Generic
194,Generic
195,Normal
196,Generic
197,DoS
198,Exploits
199,Generic
200,Reconnaissance
201,Fuzzers
202,Normal
203,DoS
204,Generic
205,DoS
206,Fuzzers
207,Fuzzers
208,DoS
209,Fuzzers
210,Normal
211,Exploits
212,DoS
213,Generic
214,Fuzzers
215,Fuzzers
216,Generic
217,Generic
218,Generic
219,DoS
220,Fuzzers
221,Analysis
222,Normal
223,DoS
224,Normal
225,Fuzzers
226,Exploits
227,DoS
228,DoS
229,Exploits
230,Generic
231,Fuzzers
232,Fuzzers
233,DoS
234,Normal
235,DoS
236,DoS
237,Exploits
238,DoS
239,Exploits
240,Generic
241,Reconnaissance
242,DoS
243,Normal
244,Exploits
245,Reconnaissance
246,Normal
247,DoS
248,Fuzzers
249,Fuzzers
250,Generic
251,DoS
252,Normal
253,Exploits
254,Fuzzers
255,Exploits
256,Generic
257,DoS
258,Fuzzers
259,DoS
260,Generic
261,Fuzzers
262,Normal
263,DoS
264,DoS
265,DoS
266,Fuzzers
267,DoS
268,Fuzzers
269,Generic
270,Reconnaissance
271,DoS
272,Reconnaissance
273,Fuzzers
274,Generic
275,Fuzzers
276,Fuzzers
277,Exploits
278,DoS
279,Exploits
280,Exploits
281,Fuzzers
282,Fuzzers
283,Fuzzers
284,Generic
285,Exploits
286,DoS
287,Reconnaissance
288,DoS
289,Fuzzers
290,DoS
291,DoS
292,Exploits
293,Fuzzers
294,Fuzzers
295,Generic
296,Fuzzers
297,DoS
298,DoS
299,Normal
300,Fuzzers
301,Fuzzers
302,Normal
303,Generic
304,Exploits
305,Fuzzers
306,Exploits
307,Fuzzers
308,DoS
309,Generic
310,Fuzzers
311,Normal
312,Normal
313,Fuzzers
314,Generic
315,Exploits
316,Fuzzers
317,Reconnaissance
318,Normal
319,Fuzzers
320,Generic
321,Normal
322,Exploits
323,Fuzzers
324,Fuzzers
325,DoS
326,Fuzzers
327,Exploits
328,Fuzzers
329,Normal
330,DoS
331,Fuzzers
332,Fuzzers
333,Exploits
334,Reconnaissance
335,DoS
336,Fuzzers
337,DoS
338,DoS
339,DoS
340,Exploits
341,Fuzzers
342,Normal
343,Normal
344,Generic
345,Reconnaissance
346,Fuzzers
347,DoS
348,DoS
349,Fuzzers
350,Fuzzers
351,Normal
352,Reconnaissance
353,Reconnaissance
354,Generic
355,Fuzzers
356,DoS
357,Fuzzers
358,Exploits
359,Fuzzers
360,Exploits
361,DoS
362,Reconnaissance
363,Exploits
364,DoS
365,Fuzzers
366,DoS
367,Fuzzers
368,Generic
369,Reconnaissance
370,Exploits
371,Fuzzers
372,Fuzzers
373,DoS
374,DoS
375,DoS
376,Exploits
377,Generic
378,Generic
379,DoS
380,Fuzzers
381,DoS
382,Fuzzers
383,Fuzzers
384,Generic
385,Exploits
386,Fuzzers
387,Generic
388,DoS
389,Generic
390,Exploits
391,DoS
392,Generic
393,DoS
394,Normal
395,Normal
396,DoS
397,Normal
398,Fuzzers
399,DoS
400,DoS
401,Fuzzers
402,Exploits
403,Generic
404,Exploits
405,DoS
406,Fuzzers
407,DoS
408,Generic
409,Reconnaissance
410,DoS
411,DoS
412,Normal
413,DoS
414,Fuzzers
415,Fuzzers
416,Fuzzers
417,Exploits
418,DoS
419,DoS
420,Generic
421,Normal
422,DoS
423,Reconnaissance
424,Generic
